date,Adj Close,Close,High,Low,Open,Volume
1/9/2022,155.2094727,157.9600067,158.4199982,154.6699982,156.6399994,74229900
2/9/2022,153.0968781,155.8099976,160.3600006,154.9700012,159.75,76957800
6/9/2022,151.8391876,154.5299988,157.0899963,153.6900024,156.4700012,73714800
7/9/2022,153.2443085,155.9600067,156.6699982,153.6100006,154.8200073,87449600
8/9/2022,151.7703705,154.4600067,156.3600006,152.6799927,154.6399994,84923800
9/9/2022,154.629715,157.3699951,157.8200073,154.75,155.4700012,68028800
12/9/2022,160.5842285,163.4299927,164.2599945,159.3000031,159.5899963,104956000
13/9/2022,151.1611938,153.8399963,160.5399933,153.3699951,159.8999939,122656600
14/9/2022,152.6055908,155.3099976,157.1000061,153.6100006,154.7899933,87965400
15/9/2022,149.7167664,152.3699951,155.2400055,151.3800049,154.6499939,90481100
16/9/2022,148.075882,150.6999969,151.3500061,148.3699951,151.2100067,162278800
19/9/2022,151.7900543,154.4799957,154.5599976,149.1000061,149.3099976,81474200
20/9/2022,154.1678925,156.8999939,158.0800018,153.0800018,153.3999939,107689800
21/9/2022,151.0432892,153.7200012,158.7400055,153.6000061,157.3399963,101696800
22/9/2022,150.0803528,152.7400055,154.4700012,150.9100037,152.3800049,86652500
23/9/2022,147.8105469,150.4299927,151.4700012,148.5599976,151.1900024,96029900
26/9/2022,148.1446686,150.7700043,153.7700043,149.6399994,149.6600037,93339400
27/9/2022,149.1174011,151.7599945,154.7200012,149.9499969,152.7400055,84442700
28/9/2022,147.2308655,149.8399963,150.6399994,144.8399963,147.6399994,146691400
29/9/2022,139.9989929,142.4799957,146.7200012,140.6799927,146.1000061,128138200
30/9/2022,135.7935181,138.1999969,143.1000061,138,141.2799988,124925300
3/10/2022,139.9695282,142.4499969,143.0700073,137.6900024,138.2100067,114311700
4/10/2022,143.555954,146.1000061,146.2200012,144.2599945,145.0299988,87830100
5/10/2022,143.8507385,146.3999939,147.3800049,143.0099945,144.0700073,79471000
6/10/2022,142.897644,145.4299927,147.5399933,145.2200012,145.8099976,68402200
7/10/2022,137.6506348,140.0899963,143.1000061,139.4499969,142.5399933,85925600
10/10/2022,137.9748535,140.4199982,141.8899994,138.5700073,140.4199982,74899000
11/10/2022,136.559967,138.9799957,141.3500061,138.2200012,139.8999939,77033700
12/10/2022,135.9311066,138.3399963,140.3600006,138.1600037,139.1300049,70433700
13/10/2022,140.5001221,142.9900055,143.5899963,134.3699951,134.9900055,113224000
14/10/2022,135.9703979,138.3800049,144.5200043,138.1900024,144.3099976,88598000
17/10/2022,139.9302673,142.4100037,142.8999939,140.2700043,141.0700073,85250900
18/10/2022,141.2469025,143.75,146.6999969,140.6100006,145.4900055,99136600
19/10/2022,141.3549652,143.8600006,144.9499969,141.5,141.6900024,61758300
20/10/2022,140.8931274,143.3899994,145.8899994,142.6499939,143.0200043,64522000
21/10/2022,144.7055969,147.2700043,147.8500061,142.6499939,142.8699951,86548600
24/10/2022,146.847641,149.4499969,150.2299957,146,147.1900024,75981900
25/10/2022,149.6873016,152.3399963,152.4900055,149.3600006,150.0899963,74732300
26/10/2022,146.7493744,149.3500061,151.9900055,148.0399933,150.9600067,88194300
27/10/2022,142.2786102,144.8000031,149.0500031,144.1300049,148.0700073,109180200
28/10/2022,153.0281219,155.7400055,157.5,147.8200073,148.1999969,164762400
31/10/2022,150.6699066,153.3399963,154.2400055,151.9199982,153.1600037,97943200
1/11/2022,148.0267334,150.6499939,155.4499969,149.1300049,155.0800018,80379300
2/11/2022,142.5045929,145.0299988,152.1699982,145,148.9499969,93604600
3/11/2022,136.4617157,138.8800049,142.8000031,138.75,142.0599976,97918500
4/11/2022,136.1959839,138.3800049,142.6699982,134.3800049,142.0899963,140814800
7/11/2022,136.727417,138.9199982,139.1499939,135.6699982,137.1100006,83374600
